qid,subdomain,u1time,u2time,u3time,u4time,u5time,u6time,u7time,u8time,u9time,u10time,average
CH0,Solid State Characteristics,32.93548168601849,64.49704501003623,58.35186678001295,46.422058656939036,88.32484289484243,32.91393914411392,56.0357724090732,65.69084465682863,42.29032167294645,88.12596838267504,57.55881412934864
CH1,Solid State Characteristics,83.03684442541291,50.72786048063779,74.12705935234925,77.4535551751974,61.703202609257524,65.60417963930331,36.79928642967431,41.09688824244395,36.38788841364236,52.6033868972539,57.95401516651727
CH2,Solid State Characteristics,32.846362145997496,70.88791370613802,45.61058997899804,52.4495286439553,44.669956043169805,59.20637307970803,42.343957619832985,49.056457577519794,75.22301949343567,79.2656958526317,55.15598541413868
CH3,Solid State Characteristics,82.13651809793265,89.0260813358295,58.10069144232467,72.85770696166787,48.52995201035365,62.945631327250716,72.26848432593812,45.01858594893537,79.07679837728439,82.70499601092749,69.26654458384444
CH4,Solid State Characteristics,81.81210151051756,45.2158774018433,62.20429071107628,80.44880538697782,54.45660844626483,61.18647788550405,35.945835328964776,70.77037192188419,33.7787256762829,34.088833469700816,55.99079277390167
CH5,Solid State Characteristics,76.80791239750732,61.349844022013954,51.07755553509394,44.59023408141794,66.67987715873012,52.545878887180905,75.86784007143208,31.880585843218423,50.64696710679878,61.45023740661151,57.28969325100049
CH6,Solid State Characteristics,42.32523854992828,50.6953280965177,47.218366441363194,82.1133811563879,39.96834910678041,89.64697308345413,80.92964167091114,85.04098549986583,48.33350606015141,55.651179555108335,62.19229492204682
CH7,Solid State Characteristics,67.26163246468114,79.72416797771481,35.55898641957937,37.93366428030581,84.0054356302861,79.1478917598009,79.24914648061858,60.76202396043242,50.165662085574596,81.97445205305516,65.57830631120488
CH8,Solid State Characteristics,56.0089976941556,83.60974871661094,52.25412659302488,60.08559277988571,54.34136672903388,58.775207702575656,38.21882044008459,34.001882834028464,51.976078448656104,59.73034966797065,54.900217160602644
CH9,Solid State Characteristics,62.69630106043171,63.286408131574504,69.89041787231064,58.05098860110863,85.91345116468106,48.59678853640056,41.79267325703562,54.897034088830296,38.16040706553214,60.04505681888613,58.33295265967913
CH10,Amorphous Solids,59.72268053895796,69.35311180977652,37.4146727758135,66.68102379419447,82.25010538669528,73.9148257257738,81.10792169777423,49.78674520513787,61.71227520260508,53.46735660983151,63.54107187465603
CH11,Amorphous Solids,35.98414740752564,32.2309051354854,64.4770846891765,44.45734406893014,67.61308104361174,85.56087405462333,56.240481936406866,67.65837750043963,72.93222208929467,32.444498854286536,55.95990167797804
CH12,Amorphous Solids,56.112711927349466,88.95162499616796,49.98909776344141,84.91217121472192,84.90756483514758,67.46091128016988,51.12349058301011,52.20255972115225,46.744674613584955,33.46025503001567,61.58650619647611
CH13,Amorphous Solids,58.15179090808253,72.48377537499783,87.53745358545281,43.00338648554855,63.69973032135108,67.71163017227907,79.95742396556471,89.64927835652236,34.27435386836972,69.74808343336414,66.62169064715329
CH14,Amorphous Solids,73.16480220384308,32.48724747810384,76.88431313382875,46.096852669923415,35.95887604840427,74.0778460267116,84.7962716180479,52.9730161156931,76.05522065230448,47.1486293294942,59.96430752763546
