QID,domain,subdomain,question,imageURL,options,answer,explaination
0,Solid State,Solid State Characteristics,Solid-state is denser than the liquid and gaseous states of the same substance. Which of the following is an exception to this rule?,0,"['Mercury', 'Carbon dioxide (dry ice)', 'Ice', 'NaCl']",c,The density of ice is about 0.92 g/cm<sup>3</sup> while that of water is 1 g/cm<sup>3</sup>. Mercury has density 14.184 g/cm<sup>3</sup> as solid and 13.69 g/cm<sup>3</sup> as liquid. Carbon dioxide has density 1.56 g/cm<sup>3</sup> as solid and 1.10 g/cm<sup>3</sup> as liquid. NaCl has density 2.71 g/cm<sup>3</sup> as solid and 1.556 g/cm<sup>3</sup> in molten state. Therefore only ice has lesser density as a solid than as a liquid.
1,Solid State,Solid State Characteristics,Which of the following can be used to describe a crystalline solid?,0,"['Heterogeneous, anisotropic', 'Homogeneous, anisotropic', 'Heterogeneous, isotropic', 'Homogeneous, isotropic']",b,"Homogeneity refers to uniformity in composition, which is a characteristic property of crystalline solids. Isotropy is when the values of physical properties do not change with direction throughout the body of the solid. Crystalline solids are anisotropic because the composition of the solid changes with direction, hence the physical properties also change with direction."
2,Solid State,Solid State Characteristics,"When a single substance can crystallize in two or more forms under different conditions provided, it is called as _________",0,"['Polymorphous', 'Isomorphous', 'Semimorphous', 'Multimorphous']",a,Isomorphous is when two or more substances have the same crystal structure. Polymorphous is when a single substance can crystallize in two or more forms depending upon the conditions.
3,Solid State,Solid State Characteristics,Which of the following is an amorphous solid?,0,"['Quartz', 'Quartz glass', 'Graphite', 'Salt (NaCl)']",b,"Quartz glass does not have a perfectly ordered structure, hence it is classified as an amorphous solid. The rest are crystalline solids due to ordered structures."
4,Solid State,Solid State Characteristics,Amorphous solids are actually supercooled liquids.,0,"['True', 'False']",a,"Amorphous solids behave like fluids and flow very slowly under the influence of gravity. Hence, they are said to be supercooled liquids."
5,Solid State,Solid State Characteristics,"Which type of solid structure melts at a definite, sharp melting point?",0,"['', 'All types of solids', 'No type of solid', 'Amorphous solids', 'Crystalline solids']",d,"Crystalline solids have a perfectly ordered structure which collapses immediately at a specific temperature. Amorphous solids melt over a range of temperatures, not one specific value."
6,Solid State,Solid State Characteristics,Which of the following describes a general solid?,0,"['Compressible', 'Incompressible', 'Fluid', 'Semi-compressible']",b,"The intermolecular forces of attraction in a solid are very strong, making it incompressible. Gases are highly compressible, while liquids are semi-compressible. Fluid is a property of a substance that can ‘flow’."
7,Solid State,Solid State Characteristics,_________ is the basic repeated structural unit of a crystalline solid.,0,"['Monomer', 'Molecule', 'Unit cell', 'Atom']",c,"Crystalline solids are composed of many small crystals, each of which is called a unit cell. It is a specific term. Monomer is the basic unit for a polymer, and atoms make up molecules, which can further arrange themselves to form solids, liquids or gases."
8,Solid State,Solid State Characteristics,Which of the following statements is true for an amorphous solid?,0,"['Long range order is present', 'Short range order is present', 'There is no orderly arrangement', 'Complete order is present at lower temperatures']",b,For an amorphous solid there is short range order present which is independent of the temperature. Long range order is present in crystalline solids.
9,Solid State,Solid State Characteristics,Sulfur exists in two polymorphic forms ____________ and ______________,0,"['rhombic and monoclinic', 'rhombic and triclinic', 'hexagonal and triclinic', 'hexagonal and monoclinic']",a,"There are two polymorphous structures of sulfur, rhombic and monoclinic. Polymorphous structures occur when a single substance can crystallize in two or more forms depending upon the conditions."
10,Solid State,Amorphous Solids,"In polar molecular solids, the molecules are held together by ________",0,"['dipole-dipole interactions', 'dispersion forces', 'hydrogen bonds', 'covalent bonds']",a,"Molecular solids are solids that are collections of molecules held together by intermolecular forces. In polar molecules such as HCl, So<sub>2</sub>, etc., the molecules are held together by dipole-dipole interactions."
11,Solid State,Amorphous Solids,Diamond is an example of _______,0,"['solid with hydrogen bonding', 'electrovalent solid', 'covalent solid', 'glass']",c,"The solids in which constituent particles are attached to each other by covalent bonds are called covalent solids. Diamond, graphite, silicon, SiC, AIN, quartz are examples of covalent solids."
12,Solid State,Amorphous Solids,Silicon is found in nature in the forms of ________,0,"['body-centered cubic structure', 'hexagonal-closed packed structure', 'network solid', 'face-centered cubic structure']",c,Silicon due to its catenation property form network solid. Catenation is the ability of an atom to form bonds with other atoms of the same element. The compounds of silicon are reactive and not stable.
13,Solid State,Amorphous Solids,Which one of the following are the dimensions of cubic crystal?,0,"['a =b ≠ c', 'a = b = c and α = β ≠ γ = 90', 'a = b = c and α = β = γ = 90', 'a ≠ b = c and α = β ≠ γ = 90']",c,"The dimensions of a cubic crystals are a = b = c, α = β = γ = 90."
14,Solid State,Amorphous Solids,Which of the following is not a crystal system?,0,"['Cubic', 'Trigonal', 'Triclinic', 'Hexaclinic']",d,"Hexaclinic is not a crystal system. Their crystal system are cubic, tetragonal, rhombohedral or trigonal, orthorhombic or rhombic, monoclinic, triclinic and hexagonal."
15,Solid State,Amorphous Solids,"In face-centred cubic cell, a unit cell is shared equally by __________",0,"['four unit cells', 'two unit cells', 'one unit cell', 'six unit cells']",d,"The unit cell in which atoms are present at corners as well as faces of unit cell is known as face-centred cubic unit cell. In face-centred cubic cell, a unit cell is shared equally by six unit cells."
16,Solid State,Amorphous Solids,The unit cell with a≠b≠c and α=β=γ=90 refers to __________ crystal system.,0,"['hexagonal', 'trigonal', 'triclinic', 'orthorhombic']",d,"In orthorhombic crystal system, all three axes are unequal in length and all are perpendicular to one another. It is also called as rhombic crystal system. Topaz, barite are some examples of orthorhombic crystals."
17,Solid State,Amorphous Solids,Which is the most unsymmetrical crystal system?,0,"['Triclinic crystal system', 'Cubic crystal system', 'Hexagonal crystal system', 'Trigonal crystal system']",a,Most unsymmetrical crystal system is triclinic in which all three axes are unequal in length none is perpendicular to another. Triclinic unit cells has the least symmetrical shape of all unit cells. Turquoise is an example of triclinic crystal.
